name,date (yyyy_mm_dd_hh_mm_ss),tag 1,tag 2,tag 3,tag 4
white_board_054.jpg,2018_09_21_12_27_30,five,busy,tired,
white_board_055.jpg,2018_09_21_08_53_20,five,busy,early,
white_board_056.jpg,2018_09_21_09_31_25,five,busy,early,
white_board_057.jpg,2018_09_21_09_35_15,five,busy,early,
white_board_058.jpg,2018_09_21_04_01_21,five,busy,day,
white_board_059.jpg,2018_09_21_04_02_51,five,busy,day,
white_board_060.jpg,2018_09_21_04_03_13,five,busy,day,
white_board_061.jpg,2018_09_21_09_19_42,five,busy,tired,
white_board_062.jpg,2018_09_21_09_51_38,five,busy,tired,
white_board_063.jpg,2018_09_21_11_01_39,five,busy,tired,
white_board_064.jpg,2018_09_21_11_04_08,five,busy,tired,
white_board_065.jpg,2018_09_21_11_46_14,five,busy,tired,
white_board_066.jpg,2018_09_21_11_51_47,five,busy,tired,
white_board_067.jpg,2018_09_21_11_55_35,five,busy,tired,
white_board_068.jpg,2018_09_22_10_34_30,six,busy,early,
white_board_069.jpg,2018_09_22_10_51_15,six,busy,day,
white_board_070.jpg,2018_09_22_12_27_12,six,busy,day,
white_board_071.jpg,2018_09_22_12_49_53,six,busy,day,
white_board_072.jpg,2018_09_22_01_02_48,six,busy,day,
white_board_073.jpg,2018_09_22_05_48_26,six,busy,day,
white_board_074.jpg,2018_09_22_09_29_42,six,busy,tired,
white_board_075.jpg,2018_09_22_11_14_09,six,busy,tired,
white_board_076.jpg,2018_09_23_12_53_51,end,busy,tired,
white_board_077.jpg,2018_09_23_10_43_16,end,busy,day,
white_board_078.jpg,2018_09_23_11_22_42,end,busy,day,
white_board_079.jpg,2018_09_23_01_03_37,end,busy,day,
white_board_080.jpg,2018_09_23_01_59_13,end,busy,day,
white_board_081.jpg,2018_09_23_03_13_49,end,busy,day,
white_board_082.jpg,2018_09_23_03_24_31,end,busy,day,
white_board_083.jpg,2018_09_23_03_26_27,end,busy,day,
white_board_084.jpg,2018_09_23_03_28_06,end,busy,day,
white_board_085.jpg,2018_09_23_04_01_46,end,busy,day,
white_board_086.jpg,2018_09_23_04_02_13,end,busy,day,
white_board_087.jpg,2018_09_23_04_26_38,end,busy,day,
white_board_088.jpg,2018_09_23_05_40_22,end,busy,day,
white_board_089.jpg,2018_09_23_07_23_17,end,busy,day,
white_board_090.jpg,2018_09_23_10_17_53,end,busy,tired,
white_board_091.jpg,2018_09_23_10_21_15,end,busy,tired,
white_board_092.jpg,2018_09_23_11_54_45,end,busy,tired,
water_bottle_000.jpg,2018_09_17_10_08_19,night,dark,bottle,
water_bottle_001.jpg,2018_09_17_13_27_25,fountain,dorm,bottle,
water_bottle_002.jpg,2018_09_17_13_43_08,dorm,desk,bottle,
water_bottle_003.jpg,2018_09_17_14_12_26,classroom,backpack,bottle,
water_bottle_004.jpg,2018_09_17_15_18_39,classroom,indoors,bottle,
water_bottle_005.jpg,2018_09_17_15_39_00,pavement,outdoors,bottle,
water_bottle_006.jpg,2018_09_17_17_36_54,rug,dorm,bottle,
water_bottle_007.jpg,2018_09_17_18_18_27,floor,indoors,bottle,
water_bottle_008.jpg,2018_09_17_19_56_11,concrete,floor,bottle,
water_bottle_009.jpg,2018_09_17_20_37_35,bench,outdoors,bottle,
water_bottle_010.jpg,2018_09_17_21_59_18,dark,bedframe,bottle,
water_bottle_011.jpg,2018_09_18_09_53_56,dark,dorm,bottle,
water_bottle_012.jpg,2018_09_18_11_54_01,hallway,dorm,bottle,
water_bottle_013.jpg,2018_09_18_12_00_23,dorm,cable,bottle,
water_bottle_014.jpg,2018_09_18_12_53_42,outdoors,sidewalk,bottle,
water_bottle_015.jpg,2018_09_18_13_10_02,outdoors,sidewalk,bottle,
water_bottle_016.jpg,2018_09_18_15_58_21,door,indoors,bottle,
water_bottle_017.jpg,2018_09_18_16_37_21,couch,indoors,bottle,
water_bottle_018.jpg,2018_09_18_16_52_13,pavement,gravel,bottle,
water_bottle_019.jpg,2018_09_18_17_45_05,dorm,indoors,bottle,
water_bottle_020.jpg,2018_09_18_19_54_38,dorm,shadows,bottle,
water_bottle_021.jpg,2018_09_18_20_31_03,night,outdoors,bottle,
water_bottle_022.jpg,2018_09_18_20_44_02,fountain,dorm,bottle,
water_bottle_023.jpg,2018_09_18_21_17_17,closet,towels,bottle,
water_bottle_024.jpg,2018_09_19_10_22_56,desk,shelf,bottle,
water_bottle_025.jpg,2018_09_19_11_25_01,hallway,dorm,bottle,
water_bottle_026.jpg,2018_09_19_11_52_23,classroom,notebook,bottle,
water_bottle_027.jpg,2018_09_19_14_58_41,pavement,outdoors,bottle,
water_bottle_028.jpg,2018_09_19_15_15_02,classroom,chairs,bottle,
water_bottle_029.jpg,2018_09_19_17_32_21,classroom,wall,bottle,
water_bottle_030.jpg,2018_09_19_17_49_21,concrete,drain,bottle,
water_bottle_031.jpg,2018_09_19_18_19_05,carpet,shoe,bottle,
water_bottle_032.jpg,2018_09_19_19_54_38,floor,reflection,bottle,
water_bottle_033.jpg,2018_09_19_19_57_41,bench,bricks,bottle,
water_bottle_034.jpg,2018_09_19_20_32_03,doorway,night,bottle,
water_bottle_035.jpg,2018_09_19_21_21_02,shadow,dark,bottle,
water_bottle_036.jpg,2018_09_19_21_25_17,night,dark,bottle,
water_bottle_037.jpg,2018_09_20_09_51_37,dark,dorm,bottle,
water_bottle_038.jpg,2018_09_20_10_33_59,table,indoors,bottle,
water_bottle_039.jpg,2018_09_20_11_35_25,outdoors,pinestraw,bottle,
water_bottle_040.jpg,2018_09_20_14_15_30,fountain,glare,bottle,
water_bottle_041.jpg,2018_09_20_14_43_49,ceiling,classroom,bottle,
water_bottle_042.jpg,2018_09_20_17_06_00,brick,wall,bottle,
water_bottle_043.jpg,2018_09_20_17_40_46,reflection,floor,bottle,
water_bottle_044.jpg,2018_09_20_18_21_10,table,meal,bottle,
water_bottle_045.jpg,2018_09_20_18_24_08,floor,concrete,bottle,
water_bottle_046.jpg,2018_09_20_21_32_32,bed,dorm,bottle,
water_bottle_047.jpg,2018_09_21_10_16_18,dorm,drawers,bottle,
water_bottle_048.jpg,2018_09_21_10_22_41,dorm,floor,bottle,
water_bottle_049.jpg,2018_09_21_10_59_35,grass,outdoors,bottle,
water_bottle_050.jpg,2018_09_21_12_03_13,concrete,pathway,bottle,
water_bottle_051.jpg,2018_09_21_12_56_57,fountain,filler,bottle,
water_bottle_052.jpg,2018_09_21_14_49_20,sidewalk,outdoors,bottle,
water_bottle_053.jpg,2018_09_21_15_30_49,chairs,hall,bottle,
water_bottle_054.jpg,2018_09_21_15_41_37,stiars,classroom,bottle,
water_bottle_055.jpg,2018_09_21_16_28_39,wet,pavement,bottle,
water_bottle_056.jpg,2018_09_21_17_07_25,indoors,floor,bottle,
water_bottle_057.jpg,2018_09_21_17_47_24,couch,dirty,bottle,
water_bottle_058.jpg,2018_09_21_17_51_00,table,classwork,bottle,
water_bottle_059.jpg,2018_09_21_18_22_35,wall,white,bottle,
water_bottle_060.jpg,2018_09_21_18_55_30,hallway,carpet,bottle,
water_bottle_061.jpg,2018_09_21_21_15_30,night,shadow,bottle,
water_bottle_062.jpg,2018_09_21_23_18_13,futon,dorm,bottle,
water_bottle_063.jpg,2018_09_21_23_29_37,dark,reflection,bottle,
water_bottle_064.jpg,2018_09_22_11_41_21,carpet,box,bottle,
water_bottle_065.jpg,2018_09_22_11_48_03,leaves,sidewalk,bottle,
water_bottle_066.jpg,2018_09_22_11_58_35,floor,brown,bottle,
water_bottle_067.jpg,2018_09_22_12_55_15,floor,indoors,bottle,
water_bottle_068.jpg,2018_09_22_12_56_51,messy,dorm,bottle,
water_bottle_069.jpg,2018_09_22_13_13_26,fountain,dorm,bottle,
water_bottle_070.jpg,2018_09_22_15_18_58,carpet,shadows,bottle,
water_bottle_071.jpg,2018_09_22_15_26_41,table,outdoors,bottle,
water_bottle_072.jpg,2018_09_22_15_44_10,hallway,tile,bottle,
water_bottle_073.jpg,2018_09_22_16_34_37,outdoors,bricks,bottle,
water_bottle_074.jpg,2018_09_22_17_21_44,dorm,hallway,bottle,
water_bottle_075.jpg,2018_09_22_18_40_37,hallway,carpet,bottle,
water_bottle_076.jpg,2018_09_22_19_00_08,tile,walkway,bottle,
water_bottle_077.jpg,2018_09_22_20_02_03,couch,indoors,bottle,
water_bottle_078.jpg,2018_09_22_20_02_40,floor,reflection,bottle,
water_bottle_079.jpg,2018_09_22_22_44_54,reflection,night,bottle,
water_bottle_080.jpg,2018_09_22_22_51_09,dark,shadow,bottle,
water_bottle_081.jpg,2018_09_22_23_26_23,fountain,dorm,bottle,
water_bottle_082.jpg,2018_09_22_23_27_11,futon,dark,bottle,
water_bottle_083.jpg,2018_09_23_11_00_04,futon,indoors,bottle,
water_bottle_084.jpg,2018_09_23_11_11_17,carpet,floor,bottle,
water_bottle_085.jpg,2018_09_23_11_57_29,fountain,dorm,bottle,
water_bottle_086.jpg,2018_09_23_13_20_58,dorm,messy,bottle,
water_bottle_087.jpg,2018_09_23_13_50_00,concrete,morning,bottle,
water_bottle_088.jpg,2018_09_23_14_18_04,laptop,table,bottle,
water_bottle_089.jpg,2018_09_23_14_33_53,walkway,railing,bottle,
water_bottle_090.jpg,2018_09_23_16_15_12,fountain,outdoors,bottle,
water_bottle_091.jpg,2018_09_23_19_38_50,wall,tile,bottle,
water_bottle_092.jpg,2018_09_23_20_11_38,floor,reflection,bottle,
water_bottle_093.jpg,2018_09_23_20_33_42,table,hardwood,bottle,
water_bottle_094.jpg,2018_09_23_20_42_41,dark,room,bottle,
water_bottle_095.jpg,2018_09_23_21_38_27,window,dark,bottle,
watch_000.jpg,2018_09_23_13_55_02,blurry,closeup,class,
watch_001.jpg,2018_09_23_13_57_31,blurry,closeup,class,
watch_002.jpg,2018_09_23_13_59_34,blurry,closeup,class,
watch_003.jpg,2018_09_23_14_04_42,blurry,working,eating,
watch_004.jpg,2018_09_23_14_16_15,blurry,working,scratched,
watch_005.jpg,2018_09_23_14_22_22,clear,working,scratched,
watch_006.jpg,2018_09_23_14_29_49,clear,closeup,working,
watch_007.jpg,2018_09_23_14_59_50,clear,closeup,working,
watch_008.jpg,2018_09_23_15_28_14,blurry,closeup,working,
watch_009.jpg,2018_09_23_15_41_50,blurry,closeup,blurry,
watch_010.jpg,2018_09_23_15_19_22,blurry,closeup,clear,
watch_011.jpg,2018_09_23_16_33_06,blurry,working,eating,
watch_012.jpg,2018_09_23_16_39_45,clear,working,scratched,
watch_013.jpg,2018_09_23_17_10_02,blurry,working,closeup,
watch_014.jpg,2018_09_23_17_25_00,blurry,scratched,working,
watch_015.jpg,2018_09_23_17_39_29,clear,closeup,eating,
watch_016.jpg,2018_09_23_17_52_09,blurry,closeup,class,
watch_017.jpg,2018_09_23_17_52_19,clear,closeup,scratched,
watch_018.jpg,2018_09_23_18_01_04,blurry,closeup,scratched,
watch_019.jpg,2018_09_23_18_05_17,blurry,working,working,
watch_020.jpg,2018_09_23_18_43_48,clear,working,working,
watch_021.jpg,2018_09_23_18_47_45,blurry,working,working,
watch_022.jpg,2018_09_23_19_04_12,blurry,scratched,eating,
watch_023.jpg,2018_09_23_19_22_18,blurry,scratched,working,
watch_024.jpg,2018_09_23_19_31_37,clear,closeup,working,
watch_025.jpg,2018_09_23_19_52_51,blurry,closeup,working,
watch_026.jpg,2018_09_23_19_58_48,blurry,closeup,working,
